Data,Countries,Local,Industry Sector,Accident Level,Potential Accident Level,Genre,Employee ou Terceiro,Risco Critico
16/06/2016 00:00,Country_03,Local_10,Others,I,I,Male,Third Party,Bees
16/06/2016 00:00,Country_03,Local_10,Others,I,I,Male,Third Party,Bees
16/06/2016 00:00,Country_03,Local_10,Others,I,I,Male,Third Party,Bees
18/06/2016 00:00,Country_03,Local_10,Others,I,I,Male,Employee,Bees
18/06/2016 00:00,Country_03,Local_10,Others,I,I,Male,Third Party,Bees
17/06/2016 00:00,Country_02,Local_08,Metals,IV,V,Male,Employee,"
Not applicable"
17/06/2016 00:00,Country_02,Local_08,Metals,IV,V,Male,Employee,Not applicable
17/06/2016 00:00,Country_02,Local_08,Metals,V,V,Male,Employee,Not applicable
19/06/2016 00:00,Country_01,Local_03,Mining,IV,IV,Male,Third Party,Others
21/06/2016 00:00,Country_01,Local_01,Mining,I,III,Male,Third Party,Others
22/06/2016 00:00,Country_01,Local_03,Mining,I,III,Male,Third Party (Remote),Others
23/06/2016 00:00,Country_02,Local_08,Metals,I,II,Male,Employee,Manual Tools
24/06/2016 00:00,Country_01,Local_01,Mining,I,III,Male,Third Party,Others
24/06/2016 00:00,Country_01,Local_01,Mining,I,IV,Male,Third Party,Others
29/06/2016 00:00,Country_01,Local_01,Mining,I,IV,Male,Employee,Others
02/07/2016 00:00,Country_01,Local_03,Mining,V,V,Male,Third Party,Others
04/07/2016 00:00,Country_01,Local_06,Metals,III,IV,Male,Third Party,Pressed
24/06/2016 00:00,Country_01,Local_03,Mining,I,II,Male,Third Party,Others
08/07/2016 00:00,Country_01,Local_01,Mining,I,II,Male,Employee,Others
07/07/2016 00:00,Country_01,Local_03,Mining,IV,V,Male,Third Party,Others
07/07/2016 00:00,Country_01,Local_03,Mining,I,IV,Male,Third Party,Others
08/07/2016 00:00,Country_01,Local_06,Metals,III,IV,Male,Third Party,Manual Tools
09/07/2016 00:00,Country_03,Local_10,Others,III,IV,Male,Third Party,Others
10/07/2016 00:00,Country_01,Local_04,Mining,IV,IV,Male,Third Party,Others
11/07/2016 00:00,Country_02,Local_05,Metals,III,IV,Male,Third Party (Remote),Suspended Loads
14/07/2016 00:00,Country_01,Local_03,Mining,I,II,Male,Employee,Others
15/07/2016 00:00,Country_02,Local_05,Metals,I,II,Female,Employee,Chemical substances
16/07/2016 00:00,Country_01,Local_03,Mining,I,IV,Male,Third Party,Others
18/07/2016 00:00,Country_01,Local_06,Metals,I,III,Male,Third Party,Fall prevention (same level)
20/07/2016 00:00,Country_02,Local_05,Metals,I,III,Male,Employee,Chemical substances
21/07/2016 00:00,Country_02,Local_12,Others,I,II,Female,Employee,Traffic
23/07/2016 00:00,Country_02,Local_08,Metals,I,II,Male,Third Party (Remote),Pressurized Systems
27/07/2016 00:00,Country_01,Local_03,Mining,II,IV,Male,Employee,Others
29/07/2016 00:00,Country_01,Local_03,Mining,I,IV,Male,Employee,Others
30/07/2016 00:00,Country_02,Local_07,Mining,I,II,Male,Employee,Others
02/08/2016 00:00,Country_02,Local_02,Mining,I,III,Male,Third Party (Remote),Others
01/08/2016 00:00,Country_02,Local_05,Metals,II,III,Female,Third Party,Manual Tools
02/08/2016 00:00,Country_03,Local_10,Others,I,I,Male,Third Party,Bees
01/08/2016 00:00,Country_01,Local_04,Mining,II,III,Male,Third Party,Others
04/08/2016 00:00,Country_02,Local_08,Metals,I,II,Male,Employee,Cut
11/08/2016 00:00,Country_02,Local_02,Mining,IV,IV,Male,Third Party (Remote),Others
11/08/2016 00:00,Country_02,Local_12,Others,I,IV,Female,Employee,Others
12/08/2016 00:00,Country_01,Local_03,Mining,III,IV,Male,Employee,Others
14/08/2016 00:00,Country_01,Local_01,Mining,III,IV,Male,Third Party,Others
14/08/2016 00:00,Country_02,Local_08,Metals,I,III,Male,Employee,Projection
15/08/2016 00:00,Country_01,Local_01,Mining,I,IV,Male,Third Party,Others
18/08/2016 00:00,Country_01,Local_03,Mining,I,III,Male,Employee,Others
19/08/2016 00:00,Country_01,Local_03,Mining,I,III,Male,Employee,Others
22/08/2016 00:00,Country_02,Local_05,Metals,I,III,Male,Employee,Pressed
24/08/2016 00:00,Country_02,Local_05,Metals,I,II,Male,Employee,Cut
25/08/2016 00:00,Country_01,Local_03,Mining,I,IV,Male,Employee,Others
24/08/2016 00:00,Country_01,Local_01,Mining,I,II,Male,Employee,Others
29/08/2016 00:00,Country_02,Local_05,Metals,I,II,Male,Employee,Chemical substances
27/08/2016 00:00,Country_01,Local_06,Metals,I,II,Male,Employee,Pressurized Systems / Chemical Substances
30/08/2016 00:00,Country_02,Local_08,Metals,II,II,Female,Third Party (Remote),Others
30/08/2016 00:00,Country_01,Local_06,Metals,I,II,Male,Third Party,Others
01/09/2016 00:00,Country_02,Local_05,Metals,II,IV,Male,Third Party (Remote),Manual Tools
02/09/2016 00:00,Country_01,Local_03,Mining,I,I,Male,Third Party,Others
04/09/2016 00:00,Country_01,Local_03,Mining,I,III,Male,Third Party,Others
03/09/2016 00:00,Country_01,Local_04,Mining,III,IV,Male,Employee,Others
04/09/2016 00:00,Country_01,Local_06,Metals,IV,IV,Male,Employee,Suspended Loads
06/09/2016 00:00,Country_02,Local_02,Mining,I,II,Male,Employee,Others
05/09/2016 00:00,Country_02,Local_05,Metals,I,II,Female,Employee,Venomous Animals
06/09/2016 00:00,Country_02,Local_07,Mining,I,II,Male,Employee,Others
13/09/2016 00:00,Country_01,Local_03,Mining,I,IV,Male,Third Party,Others
12/09/2016 00:00,Country_01,Local_11,Others,III,IV,Female,Employee,Others
13/09/2016 00:00,Country_02,Local_05,Metals,I,II,Male,Employee,Suspended Loads
15/09/2016 00:00,Country_03,Local_10,Others,I,I,Male,Third Party,Others
17/09/2016 00:00,Country_01,Local_06,Metals,I,II,Male,Third Party,Pressed
16/09/2016 00:00,Country_02,Local_05,Metals,II,IV,Male,Employee,Pressurized Systems
20/09/2016 00:00,Country_03,Local_10,Others,I,I,Male,Third Party,Fall
20/09/2016 00:00,Country_02,Local_05,Metals,I,II,Male,Third Party (Remote),Blocking and isolation of energies
20/09/2016 00:00,Country_01,Local_06,Metals,I,II,Male,Third Party,Others
21/09/2016 00:00,Country_01,Local_03,Mining,I,III,Male,Third Party,Others
