Data,Countries,Local,Industry Sector,Accident Level,Potential Accident Level,Genre,Employee ou Terceiro,Risco Critico
25/03/2017 00:00,Country_01,Local_03,Mining,II,V,Male,Third Party,Vehicles and Mobile Equipment
25/03/2017 00:00,Country_03,Local_10,Others,I,I,Male,Employee,Others
31/03/2017 00:00,Country_02,Local_05,Metals,I,IV,Male,Third Party,Fall prevention
04/04/2017 00:00,Country_02,Local_05,Metals,I,III,Male,Employee,Chemical substances
05/04/2017 00:00,Country_02,Local_05,Metals,I,IV,Male,Employee,Suspended Loads
07/04/2017 00:00,Country_02,Local_02,Mining,I,III,Male,Third Party (Remote),Others
04/04/2017 00:00,Country_03,Local_10,Others,I,I,Male,Third Party,Venomous Animals
06/04/2017 00:00,Country_01,Local_06,Metals,I,II,Male,Third Party,Others
07/04/2017 00:00,Country_01,Local_03,Mining,I,IV,Male,Third Party,Fall prevention
10/04/2017 00:00,Country_02,Local_02,Mining,I,II,Male,Third Party,Chemical substances
08/04/2017 00:00,Country_03,Local_10,Others,I,I,Male,Third Party,Venomous Animals
11/04/2017 00:00,Country_01,Local_03,Mining,I,IV,Male,Third Party (Remote),Electrical Shock
11/04/2017 00:00,Country_01,Local_03,Mining,I,IV,Male,Third Party (Remote),Electrical Shock
11/04/2017 00:00,Country_02,Local_07,Mining,I,II,Male,Third Party (Remote),Others
13/04/2017 00:00,Country_01,Local_01,Mining,I,II,Male,Employee,Others
12/04/2017 00:00,Country_03,Local_10,Others,I,I,Male,Third Party,Venomous Animals
23/04/2017 00:00,Country_01,Local_04,Mining,I,III,Male,Third Party,Others
19/04/2017 00:00,Country_03,Local_10,Others,I,IV,Male,Third Party,Others
23/04/2017 00:00,Country_01,Local_06,Metals,I,II,Male,Third Party,Projection
25/04/2017 00:00,Country_03,Local_10,Others,I,I,Male,Third Party,Venomous Animals
25/04/2017 00:00,Country_02,Local_07,Mining,IV,V,Male,Employee,remains of choco
25/04/2017 00:00,Country_01,Local_01,Mining,IV,IV,Male,Employee,Pressed
24/04/2017 00:00,Country_01,Local_03,Mining,I,V,Male,Employee,Others
28/04/2017 00:00,Country_02,Local_05,Metals,I,II,Male,Employee,Others
29/04/2017 00:00,Country_02,Local_02,Mining,II,III,Male,Employee,Manual Tools
30/04/2017 00:00,Country_02,Local_05,Metals,I,II,Male,Employee,Others
05/05/2017 00:00,Country_02,Local_02,Mining,I,II,Male,Third Party (Remote),Others
06/05/2017 00:00,Country_01,Local_01,Mining,III,IV,Male,Third Party,Manual Tools
06/05/2017 00:00,Country_02,Local_07,Mining,IV,V,Male,Employee,Projection
06/05/2017 00:00,Country_02,Local_07,Mining,II,V,Male,Employee,Projection
10/05/2017 00:00,Country_01,Local_04,Mining,V,V,Male,Third Party,Fall
16/05/2017 00:00,Country_02,Local_05,Metals,I,III,Female,Third Party (Remote),Cut
16/05/2017 00:00,Country_01,Local_03,Mining,IV,IV,Male,Employee,Others
16/05/2017 00:00,Country_02,Local_12,Others,I,I,Male,Employee,Others
17/05/2017 00:00,Country_02,Local_07,Mining,I,I,Male,Employee,Cut
18/05/2017 00:00,Country_01,Local_06,Metals,IV,IV,Male,Third Party,Pressed
19/05/2017 00:00,Country_01,Local_06,Metals,I,II,Male,Employee,Projection
23/05/2017 00:00,Country_01,Local_04,Mining,I,IV,Male,Third Party,Projection of fragments
23/05/2017 00:00,Country_01,Local_04,Mining,I,IV,Male,Third Party,Projection of fragments
23/05/2017 00:00,Country_01,Local_03,Mining,I,IV,Male,Third Party,Others
30/05/2017 00:00,Country_02,Local_12,Others,I,II,Female,Employee,Others
04/06/2017 00:00,Country_02,Local_05,Metals,I,IV,Male,Employee,Others
09/06/2017 00:00,Country_01,Local_03,Mining,I,IV,Male,Third Party,Projection
09/06/2017 00:00,Country_01,Local_06,Metals,I,III,Male,Third Party,Fall
11/06/2017 00:00,Country_01,Local_04,Mining,I,II,Male,Third Party,Others
11/06/2017 00:00,Country_01,Local_04,Mining,I,II,Male,Employee,Pressed
11/06/2017 00:00,Country_01,Local_06,Metals,I,II,Male,Third Party,Cut
11/06/2017 00:00,Country_01,Local_01,Mining,I,IV,Male,Third Party,Others
14/06/2017 00:00,Country_02,Local_02,Mining,III,IV,Male,Third Party (Remote),Pressed
15/06/2017 00:00,Country_01,Local_03,Mining,I,IV,Male,Employee,Projection
17/06/2017 00:00,Country_01,Local_03,Mining,II,IV,Male,Third Party,Projection
18/06/2017 00:00,Country_01,Local_04,Mining,IV,IV,Male,Third Party,remains of choco
24/06/2017 00:00,Country_01,Local_01,Mining,II,III,Male,Employee,Others
20/06/2017 00:00,Country_01,Local_01,Mining,I,IV,Male,Employee,Others
20/06/2017 00:00,Country_01,Local_01,Mining,I,IV,Male,Third Party,Others
24/06/2017 00:00,Country_01,Local_03,Mining,I,II,Female,Third Party,Cut
23/06/2017 00:00,Country_02,Local_05,Metals,I,II,Male,Employee,Others
19/06/2017 00:00,Country_03,Local_10,Others,III,IV,Male,Third Party,Others
22/06/2017 00:00,Country_03,Local_10,Others,I,IV,Male,Employee,Others
22/06/2017 00:00,Country_03,Local_10,Others,I,I,Male,Employee,Venomous Animals
29/06/2017 00:00,Country_02,Local_02,Mining,I,III,Male,Employee,Pressed
04/07/2017 00:00,Country_01,Local_04,Mining,I,III,Male,Third Party,Others
04/07/2017 00:00,Country_01,Local_03,Mining,I,II,Female,Employee,Others
05/07/2017 00:00,Country_02,Local_09,Metals,I,II,Male,Employee,Venomous Animals
06/07/2017 00:00,Country_02,Local_05,Metals,I,II,Male,Employee,Cut
09/07/2017 00:00,Country_01,Local_04,Mining,I,II,Female,Third Party,Fall prevention (same level)
